length_nm,width_nm,aspect_ratio,colour
1.081,0.205,5.273170731707317,Grey
1.157,0.338,3.423076923076923,Grey
1.217,0.219,5.557077625570777,Grey
0.661,0.292,2.2636986301369864,Grey
1.131,0.258,4.383720930232558,Grey
1.536,0.223,6.887892376681615,Grey
1.288,0.267,4.823970037453184,Grey
1.25,0.253,4.940711462450593,Grey
0.933,0.154,6.058441558441559,Grey
1.204,0.216,5.5740740740740735,Grey
0.818,0.239,3.422594142259414,Grey
1.638,0.249,6.578313253012047,Grey
1.029,0.241,4.269709543568465,Grey
0.991,0.252,3.9325396825396823,Grey
1.216,0.209,5.818181818181818,Grey
1.411,0.199,7.090452261306533,Grey
1.748,0.17,10.28235294117647,Grey
1.482,0.176,8.420454545454545,Grey
1.377,0.165,8.345454545454546,Grey
1.56,0.159,9.81132075471698,Grey
1.901,0.221,8.60180995475113,Grey
2.154,0.225,9.573333333333332,Grey
1.049,0.194,5.40721649484536,Grey
2.494,0.205,12.165853658536587,Grey
0.547,0.31,1.7645161290322582,Grey
1.62,0.224,7.232142857142858,Grey
1.466,0.221,6.633484162895927,Grey
0.805,0.338,2.3816568047337277,Grey
0.652,0.27,2.4148148148148145,Grey
1.515,0.191,7.931937172774869,Grey
1.747,0.178,9.814606741573035,Grey
1.357,0.191,7.104712041884817,Grey
1.963,0.172,11.41279069767442,Grey
0.987,0.292,3.38013698630137,Grey
1.549,0.242,6.400826446280992,Grey
1.794,0.209,8.583732057416269,Grey
1.648,0.223,7.390134529147981,Grey
1.56,0.24,6.500000000000001,Grey
1.144,0.311,3.678456591639871,Grey
1.247,0.276,4.518115942028985,Grey
0.625,0.307,2.035830618892508,Grey
1.01,0.256,3.9453125,Grey
1.159,0.212,5.466981132075472,Grey
1.411,0.226,6.243362831858407,Grey
1.801,0.136,13.242647058823527,Grey
1.57,0.176,8.920454545454547,Grey
1.226,0.225,5.448888888888889,Grey
1.274,0.184,6.923913043478261,Grey
1.487,0.225,6.608888888888889,Grey
0.963,0.24,4.0125,Grey
0.896,0.219,4.091324200913242,Grey
0.956,0.243,3.934156378600823,Grey
1.266,0.252,5.023809523809524,Grey
1.4,0.169,8.284023668639053,Grey
1.187,0.307,3.866449511400652,Grey
1.206,0.153,7.88235294117647,Grey
1.332,0.162,8.222222222222223,Grey
1.471,0.142,10.359154929577466,Grey
1.328,0.181,7.337016574585636,Grey
1.481,0.191,7.753926701570681,Grey
1.752,0.211,8.303317535545023,Grey
1.323,0.199,6.64824120603015,Grey
1.111,0.187,5.9411764705882355,Grey
1.615,0.146,11.061643835616438,Grey
1.52,0.185,8.216216216216216,Grey
1.562,0.174,8.977011494252874,Grey
1.223,0.224,5.459821428571429,Grey
1.772,0.162,10.938271604938272,Grey
1.552,0.212,7.320754716981132,Grey
0.828,0.25,3.312,Grey
1.769,0.211,8.383886255924171,Grey
1.353,0.225,6.013333333333333,Grey
1.268,0.189,6.708994708994709,Grey
1.403,0.252,5.567460317460317,Grey
0.878,0.231,3.8008658008658007,Grey
1.154,0.2,5.77,Grey
1.336,0.218,6.128440366972478,Grey
1.153,0.179,6.441340782122905,Grey
0.984,0.204,4.8235294117647065,Grey
1.269,0.199,6.376884422110552,Grey
1.58,0.189,8.35978835978836,Grey
0.761,0.212,3.5896226415094343,Grey
0.946,0.24,3.9416666666666664,Grey
1.494,0.184,8.119565217391305,Grey
0.981,0.203,4.832512315270936,Grey
0.895,0.244,3.668032786885246,Grey
0.92,0.193,4.766839378238342,Grey
1.074,0.173,6.208092485549134,Grey
1.088,0.23,4.730434782608696,Grey
1.191,0.203,5.8669950738916254,Grey
1.427,0.246,5.800813008130081,Grey
1.325,0.186,7.123655913978494,Grey
1.4,0.209,6.698564593301435,Grey
0.829,0.216,3.837962962962963,Grey
1.567,0.185,8.47027027027027,Grey
1.636,0.193,8.476683937823834,Grey
1.781,0.158,11.272151898734176,Grey
1.049,0.24,4.370833333333334,Grey
1.323,0.185,7.151351351351352,Grey
1.089,0.242,4.5,Grey
