species,Colour,length_nm,width_nm,aspect_ratio
Melanosuchus niger,Black,308.6,208.7,1.4786775275515096
Amphisbaena fuliginosa,Black,564.1,378.4,1.4907505285412264
Aspidoscelis costata,Black,548.8,335.4,1.6362552176505665
Xantusia henshawi,Black,572.7,294.3,1.9459734964322122
Sauromalus ater,Black,662.1,295.4,2.2413676371022344
Megapodus reinwardt,Black,899.8101,358.04,2.513155234052061
Tinamus osgoodi,Black,896.9957,353.2636,2.539168201875314
Priotelius temnurus,Black,900.0312,337.4849,2.6668784292275003
Pterocles bicinctus,Black,709.4693,262.5825,2.7018910247255628
Phalacrorax auritus,Black,954.0,342.3571,2.7865640876149493
Columba livia,Black,668.8333,238.6667,2.8023737706181886
Ciconia ciconia,Black,1097.69177,387.782462,2.8306895684209668
Larus delawarensis,Black,1104.88635,382.987781,2.8849127956904717
Rhea americana,Black,779.3575,265.1202,2.9396383225420015
Anas americana,Black,696.4415,233.3355,2.9847215704425603
Probosciger aterrimus,Black,949.9117,317.4715,2.9921164576977777
Turmix tanki,Black,836.5462,278.3352,3.005535052699048
Alectoris chukar,Black,1046.2727,346.7273,3.0175665429286935
Casuarius bennetti,Black,899.8961,285.532468,3.151641935165146
Struthio camelus,Black,929.527,289.3764,3.21217279639943
Coracina novaehollandiae,Black,1174.1277,361.5106,3.2478375461189795
Synthliboramphus antiquus,Black,992.7826,303.7391,3.2685373730283653
Diomedea exulens,Black,1289.15875,393.894875,3.2728497673395727
Rhea Americana,Black,872.08,260.2,3.351575710991545
Rhea Americana,Black,1129.8824,316.7647,3.566945432998058
Scolopax minor,Black,915.0667,254.8,3.5913135792778648
Chlidonias niger,Black,1031.75,283.375,3.6409351565946184
Pica hudsonia,Black,934.1,254.3,3.673220605583956
Megaceryle alcyon,Black,1233.7391,334.1304,3.692388061666942
Chordeiles minor,Black,1049.95605,262.872,3.994172258741897
Taeniopygia guttata,Black,1136.3,283.99,4.00119722525441
 Icterus galbula,Black,956.0,236.3,4.045704612780364
Carduelis tristis,Black,1003.1,244.2,4.107698607698608
Ardea cinereus,Black,1260.74567,304.572667,4.1393920288979835
Turdus merula,Black,1002.30038,238.658069,4.199733887899679
Sula leucogaster,Black,1136.4275,267.479167,4.248657989876273
Ramphastos ambiguus,Black,969.7,220.3,4.401724920562869
Francolinus francolinus,Black,970.356268,218.004749,4.451078577191913
Scolopax minor,Black,1008.24122,226.000185,4.461240684382626
Strix nebulosa,Black,1008.0436,219.7669,4.586876367642261
 Gavia imer,Black,893.058857,186.932,4.777453068495496
Cephus grylle,Black,1041.95488,216.66725,4.80900957574345
Fregata magificens,Black,1146.6775,232.0205,4.942138733430882
Porzana Carolina,Black,948.3731,191.597,4.949832721806708
Puffinus greseos,Black,1267.85875,245.101875,5.172782745950026
